time,close,score,conf,pti,qdd_dir,qdd_conf,gravity_block_bull,gravity_block_bear,wick_bull,wick_bear,ema_trend,ema_macro,ema_gravity,atr,last_polar,bars_neutral
2026-05-01 22:00:00,78317.07,1,17,0.09118806227151664,1,0,0,1,0,0,77287.78071819371,76958.27740294162,,,1,
2026-05-01 23:00:00,77821.84,1,18,0.46538492957905003,1,0,0,1,0,0,77318.29716976467,76975.70648094328,,,1,
2026-05-02 00:00:00,78163.61,1,19,0.32629105655065826,1,0,0,1,0,0,77366.59930951838,77000.0131888636,,,1,
2026-05-02 01:00:00,78105.76,1,20,0.2838173853750627,1,0,0,1,0,0,77408.8354438124,77022.25069773088,,,1,
2026-05-02 02:00:00,78192.39,1,21,0.1329732957884412,1,0,0,1,0,0,77453.60805571632,77045.46544699902,,,1,
2026-05-02 03:00:00,78303.06,1,22,0.5645109456103136,1,0,0,1,0,0,77502.15038726386,77076.61305085295,,,1,
2026-05-02 04:00:00,78296.2,1,23,0.14656627796297975,1,0,0,1,0,0,77547.52601802778,77105.68594762433,,,1,
2026-05-02 05:00:00,78318.68,1,24,0.2510616409800195,1,0,0,1,0,0,77591.58934752483,77128.87536101713,,,1,
2026-05-02 06:00:00,78377.04,1,25,0.23631016740737806,1,0,0,1,0,0,77636.47721689988,77163.78438098276,,,1,
2026-05-02 07:00:00,78136.87,1,26,0.2350293267364448,1,0,0,1,0,0,77665.07262219483,77187.61704503177,,,1,
2026-05-02 13:00:00,78204.52,1,27,0.15131017006079414,1,0,0,1,0,0,77695.89601655603,77207.08643179484,,,1,
2026-05-02 14:00:00,78105.11,1,28,0.4298155762631264,1,0,0,1,0,0,77719.27708498345,77223.31190831296,,,1,
2026-05-02 15:00:00,78169.17,1,29,0.3677306160767358,1,0,0,1,0,0,77744.98462940646,77243.4340686253,,,1,
2026-05-02 16:00:00,78332.26,1,30,0.3498496977666356,1,0,0,1,0,0,77778.54350287003,77268.0350936989,,,1,
2026-05-02 17:00:00,78381.23,1,31,0.323763931191372,1,0,0,1,0,0,77812.9840756779,77294.71088461141,,,1,
2026-05-02 18:00:00,78449.35,1,32,0.69846695961566,1,0,0,1,0,0,77849.34763738752,77320.07342898662,,,1,
2026-05-02 19:00:00,78419.44,1,33,0.5202263117152099,1,0,0,1,0,0,77881.92725521803,77348.70094874298,,,1,
